Stock,VaR@90%,VaR@95%,VaR@99%
Cummins,-4435.582826992711,-5777.677347436778,-7810.335281739318
CVS Health,-3734.0889511031337,-4870.903122766761,-6625.425445913037
Danaher Corporation,-3011.277412828989,-4044.618791056796,-5853.642408288051
Darden Restaurants,-4611.277884010326,-5914.620077900628,-8025.061782775943
DaVita Inc.,-4398.438840624597,-5829.386244165082,-7970.385147522706
Dayforce,-6365.903601778515,-8182.909534192989,-11161.564335971172
Deckers Brands,-7664.757621374249,-9437.54921443886,-12714.958741166769
Deere & Company,-5201.505726268519,-6575.554468126054,-9178.07117738548
Delta Air Lines,-6943.84652072548,-8665.760881061313,-11317.023941634498
Devon Energy,-9612.910374072631,-11794.275401498422,-15266.977186715481
Dexcom,-9314.935041465846,-11454.657615171556,-14806.743272621921
Diamondback Energy,-9996.152524450352,-11923.438480633678,-15221.564461010488
Digital Realty,-3517.7276094819363,-4678.725177936292,-6470.729959348364
Discover Financial,-6046.8650565024855,-7587.748824470179,-10188.231867632932
Dollar General,-4010.06014244501,-5272.876518005814,-7423.840283693886
Dollar Tree,-5196.866932629922,-6573.208504591712,-8803.49430046012
Dominion Energy,-2186.502014530333,-3024.7369957840197,-4403.713162446152
Domino's,-4961.961440043559,-6295.1052965271465,-8398.414150668885
Dover Corporation,-3867.632386819902,-4901.773867322623,-6846.908910346706
Dow Inc.,-5486.623928157667,-7016.493735451922,-9495.341185374233
DR Horton,-5455.849459481129,-6812.433052949058,-9459.801829483169
DTE Energy,-1953.5019375847742,-2752.979013058385,-4055.494772006691
Duke Energy,-1826.8754900732692,-2531.052558462981,-3765.6160175254145
DuPont,-4824.790767398371,-6266.585840226048,-8531.568991839076
Eastman Chemical Company,-4991.053123430757,-6418.52001017966,-8541.718997119102
Eaton Corporation,-4342.656588743509,-5616.07643688338,-8146.919152728823
eBay,-4591.403201722207,-5835.903721446975,-8089.499885229668
Ecolab,-2639.141486677177,-3567.121397705805,-5051.85512770865
Edison International,-2685.2443254770765,-3652.979081339652,-5092.1320317520285
Edwards Lifesciences,-5364.830865612745,-6788.087498291794,-8995.06690582321
