Stock,avg_returns,avg_volatility,Avg_Annual_Returns,Avg_Annual_Volatility,Sharpe_Ratio
Dexcom,0.202607264581525,0.35644624401583697,0.5732822058226454,0.9337152229600262,0.5531775158594144
Diamondback Energy,0.16344380070620645,0.38319488288737474,0.5003879642861606,1.1174672560844605,0.4123608925467386
Digital Realty,0.04613696479212324,0.14938914343939425,0.1167133503085805,0.31497635957734377,0.27249468787008835
Discover Financial,0.10582508658488746,0.2415743084677714,0.2811907552913205,0.5832393807171457,0.41559001220883424
Dollar General,0.0753197920005244,0.1642301630476397,0.18327656950616472,0.3371747510082692,0.42556479226550464
Dollar Tree,0.08815736400502987,0.20286344390134925,0.22522838066833129,0.45619970550167827,0.40780214332669124
Dominion Energy,0.013009087232605491,0.10133861321126393,0.03645401942532938,0.19649902622963109,0.07479745590535995
Domino's,0.15551399936187718,0.1987178795364122,0.374690224402784,0.4636690881526968,0.75526562044937
Dover Corporation,0.07591029419953658,0.16007971286275913,0.18320122449880036,0.34236604830244166,0.44028738032867637
Dow Inc.,0.03477565758185947,0.2184442398780539,0.11843933802196087,0.49506082796246725,0.1343429372127936
DR Horton,0.1136119723700845,0.21930680849588335,0.28821349189920226,0.538054818894986,0.49329410396617746
DTE Energy,0.042902891525792006,0.0960825399131853,0.09687568333291012,0.19616279938428413,0.39001544692954027
Duke Energy,0.02855609735774163,0.08631477651803114,0.06537577789623875,0.17462982374280306,0.267936516912429
DuPont,0.04023118143986891,0.19175336600453782,0.11883985975619465,0.4128373240421833,0.18149337028910187
Eastman Chemical Company,0.05949523206401558,0.201503577638869,0.1631223491245783,0.45770074506246977,0.2683129298154996
Eaton Corporation,0.09458806058240055,0.17929507238942247,0.23026064893982734,0.40103785219512683,0.49727436797217206
eBay,0.07613480470603025,0.18983221455652696,0.19409219056283725,0.4236768133917407,0.3724635889213122
Ecolab,0.06581317052510248,0.11731765477928628,0.14971725201153047,0.24727142435026198,0.5147047463510861
Edison International,0.03414155316936449,0.11942819565244386,0.083707809945153,0.2412505477722964,0.24041505636990926
Edwards Lifesciences,0.10929474939395467,0.21330116417728937,0.2760193534826158,0.47454282951161914,0.4869431117037842
Electronic Arts,0.09930927742856403,0.22602087030729467,0.25955186584076967,0.5202202366570767,0.41536014139535177
Elevance Health,0.09160189276050061,0.1518880594061393,0.21465814685981452,0.3339714860776704,0.5673433205875291
Emerson Electric,0.0400624436849282,0.1440285320070549,0.10246823489839609,0.3038253772776293,0.24046087551462458
Enphase,0.3636507332533156,0.8584799045076581,1.5962828411450944,3.363479514269583,0.4172742012864372
Entergy,0.016709069102133035,0.11123569681751255,0.04606721020154497,0.22796884332387768,0.10140496841775998
EOG Resources,0.05816473384714209,0.23934902824533746,0.176984350765541,0.5791311278824712,0.22032893742798695
EPAM Systems,0.15453908185355802,0.27381143972624267,0.4079082467329051,0.6292337337795945,0.544571348893285
EQT Corporation,0.06340118552051759,0.33925327677339223,0.24588229988275306,0.9734651639389935,0.17088108711125263
Equifax,0.08858837504172616,0.16806149688285335,0.21326132474486176,0.3684706249579702,0.49481386162034663
Equinix,0.09202616267558783,0.1755081977494755,0.22331555122354144,0.40702517986330217,0.4934068437063703
Equity Residential,0.027864963367989756,0.14578519751114333,0.0777536927759056,0.30140422852178617,0.1538959165374056
Essex Property Trust,0.045381799529906494,0.13852999528690424,0.11200823611670263,0.28291621799803257,0.28840384111568446
Estée Lauder Companies (The),0.07249428744596369,0.19111112123454896,0.1867571223852404,0.4118708861063512,0.3509218628058264
Etsy,0.1943849771904281,0.5229904171774725,0.6999504053103632,1.5198238203841177,0.3612987049184916
Everest Re,0.06419347203343354,0.11969652009651968,0.14683094872268415,0.25166588003840856,0.49094372339832565
Evergy,0.03651922847723593,0.10640865513912105,0.08569170892950974,0.22212304095229088,0.2921755909532219
Eversource,0.03404314183525595,0.10318292172299891,0.07988892185892553,0.20869405297994376,0.27731260733870466
Exelon,0.013701563682571341,0.12730815987410463,0.043793641657505676,0.2632909232646984,0.06497892131444079
Expedia Group,0.07544531207299107,0.27459669403334813,0.23196462709041776,0.6244621094868819,0.25497792513504325
Expeditors International,0.05111285551498527,0.13105426673656917,0.12200859586415058,0.2869004636357335,0.3485856651076293
Extra Space Storage,0.10175635877910154,0.1604966200802117,0.23961895021289742,0.3517282426212462,0.6001817480737868
ExxonMobil,0.03423234878580657,0.17899097841019737,0.10166525604423741,0.40689504563419043,0.16091946232268856
"F5, Inc.",0.06355162841898204,0.24071913174922147,0.18907137006994637,0.5777006108277126,0.24145322898600216
FactSet,0.07639444029984797,0.13562945190819636,0.1770151340848334,0.29969739337504386,0.5232287126579014
Fair Isaac,0.17039143339659882,0.19687802747875333,0.40856609705913727,0.4975036180729778,0.837890437697399
Fastenal,0.07364726943041515,0.14643582811701167,0.17415584315512062,0.3306234045061662,0.46585629711110643
