Name,avg_returns,avg_volatility,avg_annual_returns,avg_annual_volatility,sharpe_ratio
Darden Restaurants,0.2024151856749607,0.29438030674036486,0.12405051414397367,0.17594681060765371,0.5643875188137786
DaVita Inc.,0.16884734075053223,0.32688395284897936,0.10027958854847792,0.2037812161220405,0.4055773458101067
Dayforce,0.2860518231794502,0.5479680782925958,0.1578001526418365,0.3389504548665899,0.4558316776254778
Deckers Brands,0.45717965555198603,0.649747206534318,0.25528033229881436,0.3873600998973778,0.6478043099730165
John Deere,0.27047059763807485,0.3918582866617741,0.16226197486207136,0.22817951808204914,0.5976649999342583
Delta Air Lines,0.29081507424827185,0.697984532296214,0.1540004953608392,0.393091589919672,0.3646849574800032
Devon Energy,0.20571415421409375,1.0970858023547911,0.06949224947450748,0.5606085109416528,0.1544487578676819
Dexcom,0.7026873518531016,0.7727449188103602,0.3929444432909348,0.43037739813466586,0.8624019658555919
Diamondback Energy,0.4843362476932291,0.9496663588670132,0.25228598222296583,0.5098258632938502,0.4718137362069566
Digital Realty,0.1185366344049492,0.2438143240991896,0.07158612615750906,0.15899555623146386,0.3374125779638536
Discover Financial,0.3013266987984032,0.4664316441359717,0.1770798986314512,0.26923903978929176,0.5682635116304594
Dollar General,0.26638516209166274,0.28428181538714825,0.16318908154829215,0.18216645951358737,0.8094592579274017
Dollar Tree,0.2611963266344622,0.30440911826611267,0.16014058789052504,0.18385505943458408,0.7388928201280303
Dominion Energy,0.04055157167783816,0.1847791576778711,0.022904342406501473,0.1257179182410072,0.023167964209329893
Domino's,0.5197138014743844,0.43288892795612055,0.3096084271774557,0.2524218101952177,1.1167834414033826
Dover Corporation,0.2126856874538174,0.2765490224625631,0.13055807444824977,0.17312864037111486,0.6379160957315332
Dow Inc.,0.11028700239593982,0.29947196976436086,0.06419537033509008,0.18700531286902036,0.2471563121184677
DR Horton,0.3550422727092213,0.37085549185159544,0.21492562402131757,0.21789471740570995,0.85955760382984
DTE Energy,0.13454194382888096,0.1428823979656923,0.08580567178363366,0.09255118385481298,0.6877777141334787
Duke Energy,0.07843787065602825,0.11487642849919702,0.0502927826306997,0.07491888681996782,0.3670662157658904
DuPont,0.09983574154279416,0.2956182645825273,0.056731104180251,0.19209786348728367,0.215024355367331
Eastman Chemical Company,0.1521715410901956,0.3529376819744214,0.0877855041573547,0.22219631341057108,0.3283892093235548
Eaton Corporation,0.24351670271893894,0.3263795231536292,0.14795902388619456,0.19812329633652814,0.634984958462788
eBay,0.22136374454762098,0.3329177615687465,0.13317659065937537,0.20700561447616364,0.5559725287990461
Ecolab,0.1893491266084376,0.2331610090316099,0.11755798052759373,0.14874208317391557,0.6565356380901468
Edison International,0.09301140480864405,0.17090702820844925,0.058040130559054895,0.11280369846607176,0.3319979911727925
Edwards Lifesciences,0.32062050535997627,0.37810105988084936,0.19229076990379054,0.2325128467967663,0.7520473248169578
Electronic Arts,0.35190227483574676,0.5211518814496847,0.20364727747942274,0.3056306537911586,0.6056423689609047
Elevance Health,0.30713764984959985,0.300467237601969,0.18843019179134435,0.183340181494294,0.9014860896158408
Eli Lilly and Company,0.394392694065913,0.3161006595747232,0.24142917958327426,0.18390894336807434,1.1329368302540006
Emerson Electric,0.09552282289490342,0.23655721322063258,0.05734983616861256,0.1511548927895785,0.25047728336870817
Enphase,2.0691264196995633,3.0983493939839053,0.8774745532811038,1.3660942139019834,0.6561092847955275
Entergy,0.049839460343177676,0.15866715194807102,0.030442921744146114,0.1023627253705826,0.08551767275366108
EOG Resources,0.2021388334502536,0.49112780991483107,0.11118703415239321,0.296837811988099,0.33772923327817767
EPAM Systems,0.5803740469497433,0.601322988416987,0.33246266923720863,0.3560354511129359,0.9048438903292153
EQT,0.19845334265977665,0.6056045681738261,0.09807889435995945,0.36842348538225383,0.26780301275253654
Equifax,0.27752451738097994,0.29492125872342484,0.17016425953408892,0.1830773491602794,0.8180281871138326
Equinix,0.3250842821841145,0.36445633441180864,0.1968683732033914,0.21570583007882907,0.7924506728195574
Equity Residential,0.05785421486956992,0.24630502041643537,0.03218403037478604,0.158617051312494,0.08762955812654874
Essex Property Trust,0.11616741704134285,0.2385843492200981,0.0703790470066312,0.1549003906162134,0.3348786395100442
Estée Lauder Companies (The),0.25968074699495625,0.34736554782156404,0.15571455691226516,0.22007963871900996,0.6431557004714562
Etsy,0.9481021417312165,1.3308791131984803,0.4769667751671145,0.7064873551690288,0.6851347488455953
Everest Re,0.20565788694147183,0.1941202882440291,0.12948107286724372,0.12213080439974121,0.8725892265439434
Evergy,0.11574938321661388,0.17085421765700867,0.07292110095966377,0.11009055165761918,0.4651847027273338
Eversource,0.11282965288544229,0.16738046309496987,0.07097613223984585,0.11042265720108786,0.4573953059018387
Exelon,0.05492669598288736,0.22129648425672324,0.031349129126880676,0.14335062132378856,0.08430355899878444
Expedia Group,0.17832152612520136,0.42772563626650084,0.09995694477518374,0.2642017447442655,0.3321075458534529
Expeditors International,0.13786038368801204,0.21469058868356622,0.08569918395050827,0.1357254758004266,0.4731915336615836
Extra Space Storage,0.34188235846507664,0.36245900942902975,0.2063705047313242,0.22138101643241473,0.8431622217926658
ExxonMobil,0.10789385410135338,0.3751258186331756,0.05838834368971569,0.2314478409346687,0.1909312443387548
"F5, Inc.",0.11052959680065978,0.3035756958137886,0.06349965099101779,0.19482921377025253,0.24461438467749616
FactSet,0.22390200702695565,0.1795703809699209,0.141447532329999,0.11190646806260808,1.0448905395609642
Fair Isaac,0.5585340903100656,0.3841626391413682,0.33565742018365724,0.21574316361183457,1.359485338582731
Fastenal,0.2128019986611813,0.2652757192707605,0.13140006844290097,0.16364688861957327,0.6654637837957302
Federal Realty,0.05664854785403404,0.23686820074052983,0.031500593984689906,0.15597060434151783,0.08603068298825521
FedEx,0.1816981926869713,0.37161402269167676,0.10524791083343102,0.23489846905866923,0.39134039363606987
Fidelity National Information Services,0.14929974116996342,0.3155372180889316,0.08662054133543458,0.21109389161154524,0.35821170982112155
Fifth Third Bank,0.1610484206493044,0.39610061350866044,0.09188861369883267,0.2398780083486274,0.31501543200828475
First Solar,0.27842892573481975,0.7595492378880587,0.1309889353292755,0.4617839659368381,0.3188184503245879
FirstEnergy,0.018999832566823596,0.20448432846756995,0.00817175500586989,0.1344388642969635,-0.08446017515734743
Fiserv,0.31148324215717077,0.21227628926392336,0.1944863840507548,0.1314774961294168,1.2964831274625845
FMC Corporation,0.19653848786738973,0.3868266036630415,0.11337504542096719,0.24595047065009853,0.4143145057336062
Ford Motor Company,0.06782451979844119,0.519872536706525,0.0250172274211667,0.2971499354973472,0.060695464377120326
Fortinet,0.552764059524351,0.5918404272947502,0.3200209566252565,0.33475843497668156,0.8726903755444172
